event_id,timestamp,phase,tool_id,chamber_id,recipe_group,monitor_type,metric_name,value,measurement_id,ucl,cl,lcl,rule_triggered,severity,suggested_review_area,status,comment,event_source,method_type
EVT-000001,2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.06060943415952,MEA_79c5ca41e6d4,100.07001319308533,100.00201068215334,99.93400817122135,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000002,2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.24057165227921,MEA_5287acc1c7d6,100.2504527291443,100.1822200974242,100.11398746570411,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000003,2026-01-01 08:00:00,baseline,RTO_A01,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.10054068647857,MEA_1ab60ebacb2e,100.1099945840994,100.04211922217503,99.97424386025067,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000004,2026-01-01 08:00:00,baseline,RTO_A01,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.28127494180532,MEA_e40ce92fbf39,100.28995819409856,100.22168526340963,100.15341233272069,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000005,2026-01-01 08:00:00,baseline,RTO_A02,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.05792984377192,MEA_e80d9ca896be,100.0682125843133,100.0014052314129,99.9345978785125,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000006,2026-01-01 08:00:00,baseline,RTO_A02,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.2391832227455,MEA_03de32c80099,100.24961018515963,100.18206481311789,100.11451944107615,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000007,2026-01-01 08:00:00,baseline,RTO_A02,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.09954141469291,MEA_3a9513a6b997,100.1095375765466,100.0423961014331,99.9752546263196,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000008,2026-01-01 08:00:00,baseline,RTO_A02,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.28193459847171,MEA_3efc346a7a53,100.29057229434076,100.22264079680009,100.15470929925942,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000009,2026-01-01 08:00:00,baseline,RTO_A03,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.05945814373969,MEA_975b852875ef,100.06955499373187,100.0020077451199,99.93446049650792,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000010,2026-01-01 08:00:00,baseline,RTO_A03,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.24057643812618,MEA_53c50a65a3c4,100.24963701899992,100.18226680063339,100.11489658226685,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000011,2026-01-01 08:00:00,baseline,RTO_A03,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.10060310461364,MEA_1cebf88ac18e,100.10926578690987,100.0415015740088,99.97373736110774,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000012,2026-01-01 08:00:00,baseline,RTO_A03,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.27913908333309,MEA_8faf98551eb7,100.28903565262108,100.2219719317548,100.15490821088851,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000013,2026-01-01 08:00:00,baseline,RTO_A04,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.05927124541421,MEA_551826d68897,100.0697216320079,100.00186735763951,99.93401308327113,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000014,2026-01-01 08:00:00,baseline,RTO_A04,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.2403389477424,MEA_905ad65e2b71,100.25022634999138,100.18219194935604,100.1141575487207,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000015,2026-01-01 08:00:00,baseline,RTO_A04,CH2,RTO_BASELINE,Thickness,thickness_rtr_mean,100.10304340090548,MEA_371441c5e344,100.11110300733131,100.04268670500568,99.97427040268005,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000016,2026-01-01 08:00:00,baseline,RTO_A04,CH2,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.27861976891771,MEA_8409bda9dc61,100.2883271326905,100.22161554886594,100.15490396504138,THICKNESS_WARNING_ZONE,Medium,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000017,2026-01-02 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_sigma,0.08675450839696859,MEA_1ea506e6eed3,0.07923098790635422,0.06699075784341141,0.05475052778046861,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000018,2026-01-02 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Thickness,thickness_sigma,0.0834100675698863,MEA_830f2bffc906,0.07709219191787532,0.06683533099446407,0.05657847007105281,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000019,2026-01-02 08:00:00,baseline,RTO_A01,CH2,RTO_BASELINE,Thickness,thickness_sigma,0.0864560914002746,MEA_e5ece562b612,0.079040139599097,0.06672747620293247,0.05441481280676794,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000020,2026-01-02 08:00:00,baseline,RTO_A01,CH2,RTO_OXIDE_A,Thickness,thickness_sigma,0.08651627144292763,MEA_4ae203b9de92,0.07951952596895327,0.06684091323054518,0.05416230049213709,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000021,2026-01-02 08:00:00,baseline,RTO_A02,CH1,RTO_BASELINE,Thickness,thickness_sigma,0.08340608251243897,MEA_af2983c335fa,0.07683153051715935,0.06606812128829709,0.05530471205943483,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000022,2026-01-02 08:00:00,baseline,RTO_A02,CH1,RTO_OXIDE_A,Thickness,thickness_sigma,0.08422070305962986,MEA_a27337ed833a,0.07740438404853044,0.0665905534562451,0.05577672286395976,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000023,2026-01-02 08:00:00,baseline,RTO_A02,CH2,RTO_BASELINE,Thickness,thickness_sigma,0.08678109620615884,MEA_1bf70760eda3,0.07898399469550366,0.06643591950169474,0.05388784430788582,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000024,2026-01-02 08:00:00,baseline,RTO_A02,CH2,RTO_OXIDE_A,Thickness,thickness_sigma,0.08407571269355205,MEA_951ac4d8c7f5,0.07743758507462625,0.06629290056100234,0.055148216047378434,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000025,2026-01-02 08:00:00,baseline,RTO_A03,CH1,RTO_BASELINE,Thickness,thickness_sigma,0.0857834525857446,MEA_95d2a4a68286,0.07867026361045837,0.06672578899398901,0.05478131437751965,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000026,2026-01-02 08:00:00,baseline,RTO_A03,CH1,RTO_OXIDE_A,Thickness,thickness_sigma,0.08561732796068933,MEA_996aab4cdde8,0.07894307752742877,0.0661689632015256,0.05339484887562243,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000027,2026-01-02 08:00:00,baseline,RTO_A03,CH2,RTO_BASELINE,Thickness,thickness_sigma,0.08384311771250544,MEA_97da22f2ff34,0.07695521150526323,0.0662617531615057,0.05556829481774818,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000028,2026-01-02 08:00:00,baseline,RTO_A03,CH2,RTO_OXIDE_A,Thickness,thickness_sigma,0.08311757035817546,MEA_89c394afc99e,0.07668929466433783,0.06602946056603805,0.05536962646773827,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000029,2026-01-02 08:00:00,baseline,RTO_A04,CH1,RTO_BASELINE,Thickness,thickness_sigma,0.08415738869254386,MEA_a33a9bf0ff35,0.07757361238717461,0.06696902025387551,0.0563644281205764,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000030,2026-01-02 08:00:00,baseline,RTO_A04,CH1,RTO_OXIDE_A,Thickness,thickness_sigma,0.08367873343264093,MEA_fdc0e9e068c7,0.07708820440977833,0.0667499100345223,0.05641161565926626,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000031,2026-01-02 08:00:00,baseline,RTO_A04,CH2,RTO_BASELINE,Thickness,thickness_sigma,0.08649740887252548,MEA_12b6156d66d4,0.07918017959897536,0.06675928471225268,0.05433838982552999,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000032,2026-01-02 08:00:00,baseline,RTO_A04,CH2,RTO_OXIDE_A,Thickness,thickness_sigma,0.08597771261132064,MEA_2e6770bb368d,0.07857601685003396,0.0659461383626647,0.05331625987529545,THICKNESS_VARIATION_HIGH,High,"Review process variation, metrology repeatability, chamber stability, and monitor data consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000033,2026-02-04 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_cluster_adder,4.0,MEA_99217d899f5e,6.0,3.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review localized particle source, wafer handling, chamber condition, and repeated cluster behavior.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000034,2026-02-05 08:00:00,monitoring,RTO_A04,CH1,RTO_OXIDE_A,Particle,particle_cluster_adder,4.0,MEA_09a4ef836e50,6.0,3.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review localized particle source, wafer handling, chamber condition, and repeated cluster behavior.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000035,2026-02-06 08:00:00,monitoring,RTO_A01,CH1,RTO_OXIDE_A,Particle,particle_total_adder,12.0,MEA_8343f2064dc0,20.0,10.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000036,2026-02-06 08:00:00,monitoring,RTO_A04,CH2,RTO_BASELINE,Particle,particle_cluster_adder,4.0,MEA_4bf3c8fdb330,6.0,3.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review localized particle source, wafer handling, chamber condition, and repeated cluster behavior.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000037,2026-02-07 08:00:00,monitoring,RTO_A02,CH1,RTO_OXIDE_A,Particle,particle_cluster_adder,4.0,MEA_729d55e92c5d,6.0,3.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review localized particle source, wafer handling, chamber condition, and repeated cluster behavior.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000038,2026-02-07 08:00:00,monitoring,RTO_A04,CH2,RTO_BASELINE,Particle,particle_large_adder,1.0,MEA_cf50e7d33bdd,3.0,1.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review high-risk particle source, recent chamber recovery, transfer path condition, and PM effectiveness.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000039,2026-02-08 08:00:00,monitoring,RTO_A03,CH1,RTO_OXIDE_A,Particle,particle_large_adder,1.0,MEA_20c448121c58,3.0,1.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review high-risk particle source, recent chamber recovery, transfer path condition, and PM effectiveness.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000040,2026-02-11 08:00:00,monitoring,RTO_A04,CH2,RTO_OXIDE_A,Particle,particle_total_adder,11.0,MEA_64c0c890cef0,20.0,10.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000041,2026-02-13 08:00:00,monitoring,RTO_A03,CH1,RTO_OXIDE_A,Thickness,thickness_xbar,100.98,MEA_12e0d190ea77,100.3626135999381,100.180244719691,99.9978758394439,THICKNESS_BEYOND_CONTROL_LIMIT,High,"Review average thickness behavior, chamber matching, recipe stability, and monitor wafer measurement consistency.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000042,2026-02-14 08:00:00,monitoring,RTO_A01,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.98,MEA_c4cdda549162,100.2504527291443,100.1822200974242,100.11398746570411,THICKNESS_BEYOND_CONTROL_LIMIT,High,"Review run-to-run mean drift, RTO recipe centering, chamber thermal stability, and metrology trend.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000043,2026-02-15 08:00:00,monitoring,RTO_A04,CH2,RTO_OXIDE_A,Particle,particle_total_adder,12.0,MEA_f665d51f5aaa,20.0,10.0,0.0,PARTICLE_THRESHOLD_WARNING,Medium,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000044,2026-02-17 08:00:00,monitoring,RTO_A04,CH2,RTO_BASELINE,Thickness,thickness_wiw_stdev,1.252,MEA_9c11957c0b89,1.220082141251747,1.2021537512843454,1.1842253613169438,THICKNESS_VARIATION_HIGH,High,"Review within-wafer uniformity, wafer placement, thermal uniformity, and chamber condition.",Open,synthetic event generated for demo,phase1_thickness_monitor,baseline_3sigma
EVT-000045,2026-02-18 08:00:00,monitoring,RTO_A04,CH2,RTO_OXIDE_A,Particle,particle_total_adder,13.0,MEA_2555732b719f,20.0,10.0,0.0,PARTICLE_THRESHOLD_WARNING; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000046,2026-02-19 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_4a9a846512a4,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000047,2026-02-19 08:00:00,monitoring,RTO_A04,CH2,RTO_OXIDE_A,Particle,particle_total_adder,5.0,MEA_a6f924fbc6d4,20.0,10.0,0.0,PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000048,2026-02-20 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_9cbd1c02f93d,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000049,2026-02-20 08:00:00,monitoring,RTO_A04,CH2,RTO_OXIDE_A,Particle,particle_total_adder,3.0,MEA_aaa992f4e112,20.0,10.0,0.0,PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000050,2026-02-21 08:00:00,monitoring,RTO_A01,CH1,RTO_OXIDE_A,Particle,particle_total_adder,24.0,MEA_d8ef562a3149,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000051,2026-02-21 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_1249c92b955a,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000052,2026-02-22 08:00:00,monitoring,RTO_A02,CH1,RTO_OXIDE_A,Particle,particle_cluster_adder,7.0,MEA_1c7ad50e0d4c,6.0,3.0,0.0,PARTICLE_THRESHOLD_HIGH,High,"Review localized particle source, wafer handling, chamber condition, and repeated cluster behavior.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000053,2026-02-22 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_e1266182005b,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000054,2026-02-23 08:00:00,monitoring,RTO_A03,CH1,RTO_OXIDE_A,Particle,particle_large_adder,4.0,MEA_fca10a728251,3.0,1.0,0.0,PARTICLE_THRESHOLD_HIGH,High,"Review high-risk particle source, recent chamber recovery, transfer path condition, and PM effectiveness.",Open,synthetic event generated for demo,phase1_particle_threshold,threshold
EVT-000055,2026-02-23 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_f9e1355132bb,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000056,2026-02-24 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_292ba4912a62,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000057,2026-02-25 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_2f084a1dcca6,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000058,2026-02-26 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_f71fadfda65e,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000059,2026-02-27 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_6700412841b3,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000060,2026-02-28 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_dfcff6f4a882,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
EVT-000061,2026-03-01 08:00:00,monitoring,RTO_A04,CH1,RTO_BASELINE,Particle,particle_total_adder,24.0,MEA_df7488e94ab8,20.0,10.0,0.0,PARTICLE_THRESHOLD_HIGH; PARTICLE_REPEATED_EVENT_ESCALATION,High,"Review general contamination sources, chamber clean history, and wafer transfer path.",Open,synthetic event generated for demo,phase1_particle_threshold,repeated_event
